Title,DOI
Responses of the mud -snail Nassarius  to experimental reversals in the direction of very  weak magnetic fields,10.1016/0300-9629(71)90306-9
Cancer among workers exposed to strong static magnetic fields,10.1016/s0140-6736(85)90157-6
The role of sodium chloride in sequential induction of the presumptive epidermis of Rana pipens  gastrulae,10.2307/1539981
The nature of the action of ions  as inductors,10.2307/1539725
The uptake of Na -22 during induction in presumptive epidermis cells of the Rana pipiens  gastrula,10.2307/1539912
The Sodium dependence of embry onic induction,10.1016/0012-1606(69)90014-1
Sodium and Calcium uptake during embryonic induction,10.1016/0012-1606(72)90123-6
Electric correlates  of the menstrual cycle in women,10.1016/s0002-9378(15)31644-6
The effect of electrostatic fields on macromolecular synthesis by fibroblasts in vitro,10.1016/0014-4827(78)90036-8
Effects of electric currents on bone and bone fragments in vivo,10.1038/204652a0
A non -opreative salvage of surgically -resistant pseudoarthroses and non -unions by pulsing electromagnetic fields,10.1097/00003086-197705000-00017
Pulsing Elect romagnetic Fields: A New Method to Modify Cell Behavior in Calcified and Non -calcified Tissues,10.1007/bf02411199
Treatment oftherapeutically resistant non- unions with bone grafts  and pulsing  electromagnetic fields,10.2106/00004623-198264080-00011
Beneficial effects of electromagnetic fields,10.1002/jcb.2400510402
Effects of alternating magnetic field on transplanted neuroblastoma,10.1016/b978-0-08-022022-2.50013-7
Influence of strong magnetic fields on genetic endpoints in Tradescantia  tetrads and stamen hairs,10.1002/em.2860060107
Effects of modulated VHF fields on the CNS,10.1111/j.1749-6632.1975.tb35984.x
Ionic factors in release of 45Ca++ from chicken cerebral tissue by electromagnetic fields,10.1073/pnas.75.12.6314
Extremely low frequency magnetic fields disrupt rhythmic slow activity in rat hippocampal slices,10.1002/(sici)1521-186x(1996)17:5<388::aid-bem6>3.0.co;2-#
On the orientation of diptera according to the geomagnetic field,10.1007/978-1-4615-7569-6_4
Einflub des magnetfelds auf das richtungsverhalten von goldfischen,10.1007/bf00599929
Reaction of termites to weak alternating magnetic fields,10.1007/bf00624232
Communication between termites by means of biofields and the influence of magnetic and electric fields on termites,10.1007/bf00363990
Relationship of geomagnetic environment to human biology,10.1016/b0-08-043076-7/04197-8
Electromagnetic forces and life proce sses,10.1201/9781420061420-33
The direct current control system,10.31649/1997-9266-2021-155-2-69-75
Electrical stimulation of partial l imb regeneration  in mammals,10.5772/18874
Electrostimulaion and undetected malignant tumors,10.1097/00003086-198111000-00039
Bioelectric field pattern in the salamander and its simulation by an electronic analog,10.1109/iret-me.1960.5008048
Bioelectric factors in amphibian limb regeneration,10.2106/00004623-196143050-00002
The electrical control system regulating fracture heali ng in amphibians,10.1097/00003086-197011000-00021
Stimulation of partial limb regeneration in rats,10.1038/235109a0
The basic biological data transmission and control system influenced by elect rical forces,10.1111/j.1749-6632.1974.tb26793.x
Electrical control systems and regenerative growth,10.3109/15368378209040339
Electromagnetic controls over biological growth processes,10.3109/15368378409035962
A Theory of the interaction between DC and ELF electromagnetic fields and living  organisms,10.3109/15368378509040367
Bioelectric potential gradients may initiate cell cycling,10.1002/(sici)1521-186x(1997)18:5<341::aid-bem1>3.0.co;2-2
Biomagnetics,10.4135/9781446247501.n426
Eff ects of pulsed magnetic fields on the nerve cells of leeches,10.4324/9780080951720-54
Morpho -functional dynamics of cell culture states at high -latitude geomagnetic field variations,10.1007/bf02186898
Human sensitivity fo weak magnetic fields,10.1016/0140-6736(91)92336-z
Effect of a 9 mT pulsed magnetic field on C3H/Bi female mice with mammary carcinoma,10.3109/15368379009027763
Ultraweak emissions of chick eggs and embryos,10.1134/s1062360407050074
Electromagnetic control of cell functions,10.1017/9781316544693.039
Cell density dependent response of E. coli  cells to weak ELF magnetic fields,10.1002/(sici)1521-186x(1998)19:5<300::aid-bem4>3.0.co;2-5
Low -frequency electromagnetic radiation enhances the induction of rat mammary tumors by nitrosomethyl urea,10.1016/0304-3835(91)90079-w
Geomagnetic effects on a circadian difference in reaction times in earthworms,10.1007/bf00339683
Electrical coupling between embryonic cells by way of extracellular space and specialized junctions,10.1083/jcb.44.3.592
Electrolocati on in fish,10.1038/ng0496-341
Properties of electrotonic junctions between embryonic cells of Fundulus,10.1016/0012-1606(72)90082-6
Electrofusion of cells,10.1007/978-1-4612-4826-2_5
Development of chicken embryos in a pulsed magnetic field,10.1002/bem.2250110208
Response of a neuronal membrane to applied sinusoidal currents,10.1007/bf02790464
Polarization and stimulation of the onion root by direct current,10.1104/pp.18.3.372
Stimulation of the onion root by alternating current,10.1104/pp.18.4.570
Preliminary   studies of atypical growth in onion roots  subjected to continuous   applied electric currents of low  intensities,10.1002/jez.1400510305
Intramembrane protein distribution in cell cultures is affected by 50 Hz pulsed magnetic fields,10.1002/(sici)1521-186x(1997)18:7<463::aid-bem1>3.0.co;2-0
Electric receptors in a non -electric fish,10.1038/199088a0
Electrical responses to amputation of the eye in the mystery snail,10.1002/jez.1402450107
Biological effects of a 765 -kV 60 Hz transmission line on honey bees,10.1002/bem.2250050303
Laboratory  investigations of the electrical characteristics of honey bees and their exposure to intense electric fields,10.1002/bem.2250100102
Electromagnetic and Electrostatic Fields: a neglected area in physiological psychology,10.1080/00223980.1954.9916146
Bioelectric potentials in relation to movement in amoebae,10.1016/s0022-5193(62)80024-1
"Ion -protein dissociation predicts ""windows"" in electric field- induced wound -cell proliferation",10.1016/s0304-4165(00)00002-7
Human hybridoma cells produced by electro -fusion,10.1016/0014-5793(82)81012-0
An electrical current associated with gravity sensing  in maize roots,10.1104/pp.84.3.841
Electrical stimulation and its effect on grow th and ion accumulation in tomato plants,10.1139/b71-255
Experimental control of the site of embryonic axis formation in Xenopus laevis  eggs centrifuged before first cleavage,10.1016/0012-1606(85)90035-1
Cosmic ray effects and faunal extinctions at geomagnetic field reversals,10.1016/0012-821x(67)90042-8
The effect of a direct electric current on the rate of growth of the coleoptile of barley,10.1098/rspb.1923.0034
Pot culture experiments with an electric discharge,10.1017/s0021859600003452
Stimulation of brain tissue in vitro by extremely lowfrequency,10.1111/j.1471-4159.1972.tb01363.x
Effect of ambient levels of power -line frequency electric fields on a developing ver tebrate,10.1002/bem.2250090204
Multiple power- density windows and their possible origin,10.1002/bem.2250100202
Importance of alignment between local DC magnetic field and an oscillating magnetic field in responses of brain tissue in vitro  and in vivo,10.1002/bem.2250110207
The influ ence of temperature during electric - and magnetic -field-induced alteration of calcium ion release from in vitro  brain tissue,10.1002/bem.2250120305
Effect of AC and DC magnetic field orientation on nerve cells,10.1006/bbrc.1996.0485
Ferromagnetism in freshwater bacteria,10.1128/jb.32.3.265-280.1936
Two pathways in the electromagnetic stimulation of biosynthesis,10.1007/978-1-4757-9459-5_13
Do electromagnetic fields interact directly with DNA,10.1002/(sici)1521-186x(1997)18:2<111::aid-bem3>3.0.co;2-5
Detection of the ultraweak glow of frog muscles on stimulation,10.1109/eqec.2003.1314019
Evocation of regrowth phenomena in anuran limbs by electrical stimulation of the nerve supply,10.1002/ar.1091480303
Electrical phenomena and their possible significance in thevitellogenic follicles of Drosophila melanogaster,10.1111/j.1432-0436.1984.tb01331.x
Evidence against electrophoresis as the principle mode of protein transport in vitellogenic ovarian follicles of Drosophila,10.1242/dev.101.2.279
Intracellular electrical potential measurements in Drosophila  follicles,10.1242/jcs.81.1.207
What is the role of naturally produced electric  curren t in vertebrate regeneration and healing?,10.1016/s0074-7696(08)61793-3
Mice regrow the tips of their foretoes,10.1126/science.7100922
A steady efflux of ionic current predicts hind limb development in the axolotl,10.1002/jez.1402280309
The role of ionic current in the regeneration and development of the amphibian limb,10.1098/rstb.1991.0018
Stump currents in regenerating salamanders and newts,10.1002/jez.1402310209
The role of natural and applied electric fields in neuronal regeneration and development in Nuccitelli,10.1109/iembs.2006.259548
Functional recovery after spinal cord hemisection in guinea pigs: the effects of applied electric fields,10.1002/cne.902960409
Weak applied voltages interfere with amphibian morphogenesis and pattern,10.1002/jez.1402680408
Mammalian cortical astrocytes align themselves in a physiological voltage gradient,10.1006/exnr.1994.1111
Uncoupling histogenesis from morphogenesis in the vertebrate embryo by collapse of the transn eural tube potential,10.1002/aja.1002030408
The responses of mammalian spinal axons to an applied DC voltage gradient,10.1006/exnr.1997.6499
Energy emanat ion during cell division,10.1016/j.ceca.2020.102258
Reaction of circadian rhythms of the lymphoid system to deep screening from geomagnetic fields of the earth,10.1007/bf00841684
Embryonic development of the quail in strong magnetic fields,10.1007/978-3-642-71526-6_24
Electrical polarity in embryos of wild carrot precedes cotyledon differentiation,10.1073/pnas.81.19.6064
Cytochalasin treatment disrupts the endogenous currents associated with cell polarization in Fucoid zygotes,10.1083/jcb.100.4.1173
Effects of 60 -Hz electric fields on celular elongation and radial expansion growth in cucurbit roots,10.1002/bem.2250080108
Biological Rhythms and Communication,10.1007/978-1-4615-7572-6_3
Electrokinetic properties an d morphologic characteristics of amphibian gastrula cells,10.1111/j.1749-6632.1974.tb26806.x
Transplantation of living nuclei from blastula cells into enucleated frog's eggs,10.1073/pnas.38.5.455
The effects of applied  electric fields on Micrasterias : I - Morphogenesis and the pattern of cell wall deposition,10.1242/jcs.42.1.261
The effects of appliedelectric fields on Micrasterias: II - The distributions of cytoplasmic and plasma membrane components,10.1242/jcs.42.1.279
Responses of the planarian Dugesia  and the protozoan Paramecium  to very weak horizontal magnetic fields,10.2307/1539273
Effects and after -effects on planarians of reversals of the horizontal magnetic vector,10.1038/209533b0
A hypothesis for extrinsic timing of circadian rhythms,10.1139/b69-041
Some orientational influences of nonvisual terrestrial electromagnetic fields,10.1111/j.1749-6632.1971.tb13101.x
"A ""compass -direction effect"" for snails in constant conditions and its lunar modulation",10.7748/ldp.11.8.22.s17
A relationship between photic and magnetic response in snails,10.1007/bf02158629
Interorganismic and environmentalinfluences through extremely weak electromagnetic fields,10.2307/1540299
Magnetic induction of a circadian cycle in hamsters,10.1080/09291017809359632
Electromagnetic field exposure and cancer,10.1093/oxfordjournals.aje.a009287
A gradient of cytoplasmic free calcium in growing rhizoid cells of Fucus serratus,10.1038/320624a0
Effect of a static magnetic field on fracture healing in a  rabbit radius,10.1097/00003086-198709000-00040
Synchronization of pacemaker cell firing by weak ELF fields,10.1002/(sici)1521-186x(1998)19:2<92::aid-bem6>3.0.co;2-z
Supernumerary limbs in amphibians,10.1093/icb/22.1.131
Distal regeneration and symmetry,10.1126/science.212.4498.993
Modulation of mammalianimmunity by electromagnetic radiation,10.1063/1.1722028
Magnetic compass orientation in the subterranean rodent Cryptomys hottentotus (Bathyergidae),10.1007/bf01954256
A bio-electric rec ord of human ovulation,10.1126/science.86.2231.312
Detection of Ovulation in intact rabbits,10.3181/00379727-33-8271p
Bioelectric phenomena associated with menstruation,10.1016/b978-0-12-374979-6.00012-5
The Electro -Dynamic Theory of Life,10.1086/394488
Preliminary study of electric correlates of growth in Obelia geniculata,10.1007/bf00397004
Evidence for the existence of an electro -dynamic field in living organisms,10.1073/pnas.25.6.284
Steady State potential differences in the early development of Amblystoma,10.1007/978-3-030-23339-6_8
Electrical correlates of form in cucurbit fruits,10.1002/j.1537-2197.1944.tb08028.x
Electricity and life,10.1093/oxfordjournals.jhered.a102496
Millivoltmeters,10.6028/jres.017.024
Electrodynamic theory of development suggested by studies of proliferation rates in the brain of Amblystoma,10.1002/cne.900560205
Biological organization and the cancer problem,10.1525/bisi.1999.49.1.51
Electrical Correlates of growth in corn roots,10.1016/0040-8166(85)90053-9
Diurnal potentials in the maple tree,10.2307/40158490
An electrometric study of cotton seeds,10.1002/jez.1401130109
Electrometrics of atypical growth,10.1086/280643
Ce rtain electrical properties of the slime mold,10.1002/jez.1401290207
The effects of low -energy 60 -Hz environmental electromagnetic fields upon the growth -regulated enzyme ornithine deca rboxylase,10.1093/carcin/8.10.1385
Effect of low frequency pulsing electromagnetic fields on irradiated mice,10.1109/iembs.1988.95247
A perturbation model for electromagnetic field interaction with excitable cellular membranes,10.1021/bk-1981-0157.ch010
Retardation of embryogenesis by extremely low frequen cy 60 Hz electromagnetic fields,10.1177/0748233719851697
Environmental magnetic fields: influences on early embryogenesis,10.1002/jcb.2400510406
Static magnetic field effects on the sagittal suture in Rattus Norvegicus,10.1016/0889-5406(93)70004-8
Electrotherapy for a cceleration of wound healing: low intensity direct current,10.2147/jmdh.s127207
Effects of in utero exposure to 4.7 T MR imaging conditions on fetal growth and testicular  development in the mouse,10.1016/0730-725x(95)02099-f
Low frequency alternating electromagnetic fields and leukemia: the saga so far,10.1038/bjc.1989.332
Modulation of cell -cycle related genes by low frequency pulsing electromagnetic fields,10.1109/iembs.1988.95247
Membrane potential,10.1007/978-3-540-29805-2_2352
Effect of a magnetic fie ld on germination of apple,10.1093/owc/9780199662777.003.0044
Fertilization of amphibian eggs: a comparison of electrical responses between anurans and urode les,10.1016/0012-1606(83)90361-5
Weak low -frequency magnetic field initiates frequency -dependent fluctuations of period of daphnia magna,10.3390/ijms232415727
Electromagnetic Fields and Cell Growth,10.1007/978-1-4615-4867-6_40
Electric fields a nd proliferation in a dermal wound model,10.1002/(sici)1521-186x(1998)19:2<68::aid-bem2>3.0.co;2-1
On the action of an artificial magnetic field on planaria,10.1002/jez.1400750303
Automated absorption image cytometry of electroma gnetically -exposed frog erythrocytes,10.1002/cyto.990010110
Effects of pulsed electromagnetic fields on the early stages of embryogenesis in sea urchin eggs,10.1080/09553007714550981
The effect of static magnetic fields on the photohemolysis of human erythrocyte s by ketoprofen,10.1111/j.1751-1097.1998.tb09459.x
Magnetic field modulation of receptor binding,10.1002/mrm.1910100208
Electrochemical treatment of mouse and rat fibrosarcomas with direct current,10.1002/(sici)1521-186x(1997)18:1<14::aid-bem4>3.0.co;2-8
Effect of K+ and Cl- ion gradients upon apex regeneration in Acetabularia mediterranea,10.1007/bf00390920
Modulation of rat radial o steotomy repair using electromagnetic current induction,10.1016/0021-9290(80)90281-x
Light transmission of scales overing male inflorescences and leaf buds in Larch during microsporogenesis,10.1016/s0176-1617(86)80245-0
Quasi -mochromatic light -induced photon emission from microsporocytes of larch showing oscillating decay behavior predicted by an electromagnetic model of differentiation,10.1016/s0176-1617(89)80041-0
New Indication of Possible role of DNA in ultraweak photon emission from biological systems,10.1016/s0176-1617(86)80086-4
Ultraweak photon emission and anther meotic cycle in Larix europaea,10.1007/bf01953307
Ethidium bromide -induced changes in intensity of ultraweak photon emission from microsporocytes of Larch in selected stages of development,10.1016/s0176-1617(89)80041-0
Ultraweak photon emission in UV region during microsporogenesis in Larix decidua  Mill,10.1007/978-3-662-13231-9_26
White -light induced luminescence and mitotic activity of yeast cells,10.1016/0027-5107(68)90007-9
White -light induced luminescence from normal and temperature sensitive Saccharmyces cerevisiae,10.1093/genetics/131.4.821
Transduction of electromagnetic signals into biological effects,10.1016/0302-4598(84)87008-7
E xtra low frequency electromagnetic radiation as a biocommunications medium: a protein transreceiver system,10.1093/imamat/23.4.421
Electroosmotic interactions accompanying mitosis initiation in sarcoma cells in vitro,10.1111/j.2164-0947.1969.tb02926.x
Variation of the transmembrane potential level as a basic mechanism of mitosis control,10.1159/000224545
Control of somatic cell mitosis by simulated change s in transmembrane potential level,10.1159/000224567
Contact inhibition of division: involvement of the electrical transmembrane potential,10.1002/jcp.1040820307
Enzyme activity in macrophages from animals exposed to a very low magnetic field,10.1017/s0074180900182245
Subjective time estimation by humans is increased by counterclockwise but not clockwise circumcerebral rotations of phase -shifting magnetic pulses in the horizontal plane,10.1016/s0304-3940(99)00379-1
Morphogenesis and regulation in spite of continued   mitotic inhibition in Xenopus  embryos,10.1038/242055a0
Scale of body pattern adjusts to available cell number in amphibian embryos,10.1038/290775a0
Dynamics of the control of body pattern in the development of Xenopus laevis,10.1016/j.bpj.2009.12.2327
Changes in vo ltage-dependent ion currents during meiosis and first mitosis in eggs of an ascidian,10.1016/0012-1606(92)90112-t
Coherent polarization waves in cell division and cancer,10.21236/ada558609
Electrical currents induce perpendicular orientation and cathode -directed migrati on of amphibian neural crest cells in culture,10.1073/pnas.81.1.160
Perpendicular orientation and directional migration of amphibian neural crest cells in DC electrical fields,10.1073/pnas.81.1.160
Electrical and ionic control of tissue cell locomotion in DC electric fields,10.1002/jnr.490130116
Mo tility of cultured fish epidermal cells in the presence and absence of direct current electric fields,10.1083/jcb.102.4.1384
Effect of a high -intensity static magnetic field  on sciatic nerve regeneration in the rat,10.1097/00006534-198902000-00017
The growth of PC12 neurites is biased towards the anode of an applied electrical field,10.1002/neu.480251204
Possible direct causal relation between geomagnetic reversals and biological extinctions,10.1130/0016-7606(1971)82[2603:pdcrbg]2.0.co;2
Bioelectric potentials: their maintenance and function,10.1016/s0096-4174(18)30004-0
Communication signals and sound production mechan isms of mormyrid electric fish,10.1242/jeb.202.10.1417
Magnetic field of the earth as additional Zeitgeber for endogenous rhythms?,10.1007/bf01189180
Retinal response to variations of the earth's magnetic field,10.1007/978-3-642-71526-6_17
The electrical conductivity of animal tissues under normal and pathological conditions,10.1152/ajplegacy.1922.60.1.59
Morphohistochemical changes in rat paw carrageenin oedema induced by pulsed magnetic fields,10.1016/0302-4598(85)85007-8
Pattern and mechanism in the reaggregation of sponges,10.1038/196245a0
Interaction of electromagnetic fields with genetic information,10.1007/978-1-4899-1968-7_14
Hippocampal growth cone responses to focally applied electric fields,10.1002/neu.480240108
Prediction of magnetically induced electric fields in biological tis sue,10.1109/10.81560
Effects of 60 Hz electromagnetic fields on early growth in three plant species,10.1002/(sici)1521-186x(1996)17:2<154::aid-bem10>3.0.co;2-s
Bibliography of the biological eff ects of magnetic fields,10.4324/9780080951720-54
Teratogenic effects of weak magnetic fields,10.1016/s0033-3506(82)80062-0
Embryological changes induced by weak,10.1016/s0140-6736(01)36136-6
An evaluation of the existing evidence on the carcinogenic potential of ELF magnetic fields,10.1016/0302-4598(94)01722-d
Combined action of alternating and static magnetic fields on behavior of rats in the open field test,10.1063/5.0083306
Dynamic properties of electrotonic coupling between cells of early Xenopus  embryos,10.1016/s0006-3495(74)85923-0
Intercellular connectivity in the 8- cell Xenopus  embryo,10.1016/s0006-3495(75)85824-3
The influence of electrostatic and magnetic fields on mutation i n Drosophila melanogaster  spermatozoa,10.1016/0027-5107(78)90264-6
Ionic basis of bioelectric currents during oogenesis in an insect,10.1006/dbio.1993.1190
Effects of electromagnetic radiation on implantation and  intrauterine development of the rat,10.1111/j.1749-6632.1975.tb36011.x
Effects of an extremely low frequency electromagnetic field on the cell division rate and plasma membrane of Paramecium tetraurelia,10.1002/bem.2250060107
Ionic currents through the cleaving egg of Lymnae stagnalis  in Nuccitelli,10.1083/jcb.97.6.1753
Advances in vibrating probe techniques,10.1007/bf01281996
Growth and current pattern around internodal cells of Nitella flexilis L.,10.1093/jxb/35.3.373
Spontaneous ultraweak chemiluminescence of inbred lines and interline plant hybrids,10.1364/oam.1987.thpo44
Low -frequency magnetic fields and the regeneration of jaw tissues,10.1201/9781420049510.ch90
Biomagnetics II: anomalies found in the root of Allium cepa L .,10.1007/978-1-4020-4585-1_2330
Anomalous development of roots of Narcissus tazetta and Allium cepa expo sed to magnetic fields,10.1007/springerreference_68993
A survey of the effects of magnetic environments on seed germination and early growth,10.6109/jkiice.2013.17.1.242
Plant growth r esponses to magnetic fields in controlled environments,10.2307/1297308
The effect of the fiel d of a permanent magnet on the germination and growth of white mustard seeds,10.1007/bf01553144
Influence of electrical field on pupation and oviposition in Nepytia phantasmaria stkr.,10.1038/191976a0
Model for external influences on cellular signal transduction pathways,10.1002/bem.2250160203
Circadian locomotor activity of Musca  flies,10.1007/978-3-642-70332-4_43
Five hypotheses to examine the nature of magnetic field transduction in biological systems,10.1002/(sici)1521-186x(199910)20:7<423::aid-bem3>3.0.co;2-w
Cell-cycle kinetics of Friend erythroleukemia cells in a magnet ically shielded room and in a low -frequency/low -intensity magnetic field,10.1002/(sici)1521-186x(1997)18:1<58::aid-bem9>3.0.co;2-4
Embryonic fibroblast motility and   orientation can be influenced by physiological electric fields,10.1083/jcb.98.1.296
The role of electric fields in fibroblast motility in Nuccitelli,10.1083/jcb.98.1.296
Electric field -directed growth and branching of cultured frog nerves: effects of aminoglycosides and polycations,10.1002/neu.480260406
Integrated interactions between chondroitin sulphate proteoglycans and weak DC electric fields regulate nerve growth cone guidance in vitro,10.1242/jcs.110.16.1957
Ethological anomalies in bees and wasps induced by the action of electric fiel ds (in Russian),10.7591/9781501704291-005
Morpho -physiological effects of ultrahigh -frequency field,10.1016/j.etap.2014.06.005
Histological changes during development of th e cerebellum in the chick embryo exposed to a static magnetic field,10.1002/(sici)1521-186x(1997)18:1<36::aid-bem7>3.0.co;2-6
Auxin action on proton influx in corn roots and its correlation  with growth,10.1007/bf02395322
Effects of low -intensity pulsed EM fields on the early development  of sea urchins,10.1016/s0006-3495(87)83429-x
Lymphoma induced in mice chronically exposed to very strong low -frequency electromagnetic field,10.1016/0304-3835(96)04324-8
Low frequency pulsed magnetic fields enhance co llagen production in connective tissue cultures,10.1016/0302-4598(85)85010-8
Low frequency pulsed magnetic fields do not modify several aspects of ion transport in biological materials,10.1016/0302-4598(85)85013-3
Effects of low -amplitude pulsed magnetic fields on cellular ion transport,10.1002/bem.2250080203
The effect of pulsed and sinusoidal magnetic fields on the morphology of developing chick embryos,10.1002/(sici)1521-186x(1997)18:6<431::aid-bem5>3.0.co;2-3
USSR Report - life sciences: Effects of non -ionizing electromagnetic radiation,10.1111/j.1524-4725.1980.tb00844.x
Electrical currents associated with rhythmic contractions of the blastoderm of the medaka,10.1016/0300-9629(88)90842-0
Bioelectric potentials of plants and their func tional significance I,10.1016/0302-4598(74)85020-8
Bioelectrical potentials of plants and their functional significance II,10.1007/978-1-4684-1369-4_6
Bioelectric potentials of plants and their functional significance IV,10.1016/0302-4598(74)85020-8
Interaction of pulsing magnetic fields and whole -body gamma irradiation in mice,10.1088/0952-4746/19/2/306
Photons as Transmitter for Intra - and Intercellular biological and biochemical communication,10.1007/s001140050646
Health effects of low -level electroma gnetic fields,10.1007/bf01152664
60 -Hz field effects on human neuro -regulatory,10.1109/tmag.1981.1061240
Magnetic Guidance of Organisms,10.1146/annurev.bb.13.060184.000505
Magnetite and magnetotaxi s in microorganisms,10.1007/978-1-4684-7908-9_25
The effect of electrical stimulation upon the rate of regeneration in Rana pipiens  and Amblystoma jeffersonianum,10.1002/jez.1400070304
Viabilities and mutation frequencies of CHO -K1 cells following exposure to 60 Hz electric fields,10.1002/bem.2250090311
Repea ted verbal interruptions during exposure to complex transcerebral magnetic fields elicit irritability,10.2466/pms.1996.82.2.639
Pattern regulation in epimorphic fields,10.1126/science.948762
Human Auditory System response to Modulated electromagnetic Energy,10.1152/jappl.1962.17.4.689
Differential biologic effects of pulsed and continuous electromagnetic fields and  mechanisms of effect,10.1111/j.1749-6632.1974.tb26796.x
Direct current potentials in hypnoanalgesia,10.1001/archpsyc.1962.01720030039005
Geomagnetic parameters and psychiatric hospital admissions,10.1038/200626a0
Psychiatric ward behavior and geophysical parameters,10.1038/2051050a0
Effect of magnetic fields on reaction time performance,10.1038/213949a0
Low frequency electric field induced chang es in the shape and motility of amoebae,10.1126/science.1111109
Possibilities of long and short range electric interactions of  biological systems,10.1016/s0166-9834(00)82267-8
The biological  effects of microwaves and related questions,10.1016/s0065-2539(08)60259-0
Coherent processes in biological systems,10.1021/bk-1981-0157.ch012
Coherence in biology,10.1007/978-3-642-69186-7_1
Membrane potential and time requirements for detection of weak signals by voltage -gated ion channels,10.1002/(sici)1521-186x(1999)20:4+<102::aid-bem12>3.0.co;2-j
Biophoton emission from Daphnia magna : a possible factor in the self -regulation of swarming,10.1007/bf01959943
Population density -dependence of biophoto n emission from Daphnia,10.1142/9789814439671_0014
Dependence of EHF EMF effects on the value of the static magnetic field,10.1016/0730-725x(85)90387-x
