Title,DOI
Entropy and Fractal Techniques for Monitoring Fish Behaviour and Welfare in Aquacultural Precision Fish Farming-A Review,10.3390/e25040559
Developmental cell fate choice in neural tube progenitors employs two distinct cis-regulatory strategies,10.1016/j.devcel.2022.11.016
The brain is not mental! coupling neuronal and immune cellular processing in human organisms,10.3389/fnint.2023.1057622
"A computational model of cell membrane bioelectric polarization and depolarization, connected with cell proliferation, in different tissue geometries",10.1016/j.jtbi.2022.111338
"There's Plenty of Room Right Here: Biological Systems as Evolved, Overloaded, Multi-Scale Machines",10.3390/biomimetics8010110
Biological Robots: Perspectives on an Emerging Interdisciplinary Field,10.1089/soro.2022.0142
A nonlinear neural network based on an analog DNA toehold mediated strand displacement reaction circuit,10.1039/d1nr06861j
Information theory in vertebrate stress physiology,10.1016/j.tem.2021.10.001
Outsourced hearing in an orb-weaving spider that uses its web as an auditory sensor,10.1073/pnas.2122789119
Regulation of Ion Channel Function in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes by Cancer Cell Secretion Through DNA Methylation,10.3389/fcvm.2022.839104
Evolution of metamemory based on self-reference to own memory in artificial neural network with neuromodulation,10.1038/s41598-022-10173-4
Deep physical neural networks trained with backpropagation,10.1038/s41586-021-04223-6
Overlapping genes in natural and engineered genomes,10.1038/s41576-021-00417-w
Short-term bioelectric stimulation of collective cell migration in tissues reprograms long-term supracellular dynamics,10.1093/pnasnexus/pgac002
Design for an individual: connectionist approaches to the evolutionary transitions in individuality,10.3389/fevo.2022.823588
Exponential Function Computation Based on DNA Strand Displacement Circuits,10.1109/TBCAS.2022.3184760
"Djhsp70s, especially Djhsp70c, play a key role in planarian regeneration and tissue homeostasis by regulating cell proliferation and apoptosis",10.1016/j.gene.2022.146215
Ecological firewalls for synthetic biology,10.1016/j.isci.2022.104658
Disconnecting multicellular networks in brain tumours,10.1038/s41568-022-00475-0
Emergence as the conversion of information: a unifying theory,10.1098/rsta.2021.0150
DNA Input Classification by a Riboregulator-Based Cell-Free Perceptron,10.1021/acssynbio.1c00596
"Simulating homeostatic, allostatic and goal-directed forms of interoceptive control using active inference",10.1016/j.biopsycho.2022.108266
Epigenetics of childhood trauma: Long term sequelae and potential for treatment,10.1016/j.neubiorev.2021.10.042
Odd dynamics of living chiral crystals,10.1038/s41586-022-04889-6
Profiling Differential Effects of 5 Selective Serotonin Reuptake Inhibitors on TLRs-Dependent and -Independent IL-6 Production in Immune Cells Identifies Fluoxetine as Preferred Anti-Inflammatory Drug Candidate,10.3389/fphar.2022.874375
Bridging the explanatory gaps: What can we learn from a biological agency perspective?,10.1002/bies.202100185
Apical-out airway organoids as a platform for studying viral infections and screening for antiviral drugs,10.1038/s41598-022-11700-z
"Reflections on the past, present and future of developmental biology",10.1016/j.ydbio.2022.05.001
Competition for finite resources as coordination mechanism for morphogenesis: An evolutionary algorithm study of digital embryogeny,10.1016/j.biosystems.2022.104762
Zebrafish Embryos Display Characteristic Bioelectric Signals during Early Development,10.3390/cells11223586
Natural computation and its limits: Efim Liberman at the dawn of a new science,10.1016/j.biosystems.2022.104653
Engines of innovation: biological origins of genome evolution,10.1093/biolinnean/blac041
Linguistic laws in biology,10.1016/j.tree.2021.08.012
Evidence for long-term potentiation in phospholipid membranes,10.1073/pnas.2212195119
Cognitive economics and the Market Mind Hypothesis: Exploring the final frontier of economics,https://doi.org/10.1111/ecaf.12505
"Predictive validity in drug discovery: what it is, why it matters and how to improve it",10.1038/s41573-022-00552-x
Dynamic gene expression and growth underlie cell-to-cell heterogeneity in Escherichia coli stress response,10.1073/pnas.2115032119
Breast Cancer Stem-Like Cells in Drug Resistance: A Review of Mechanisms and Novel Therapeutic Strategies to Overcome Drug Resistance,10.3389/fonc.2022.856974
How Organisms Come to Know the World: Fundamental Limits on Artificial General Intelligence,10.31219/osf.io/yfmt3
The antidepressant and anxiolytic effects of cannabinoids in chronic unpredictable stress: a preclinical systematic review and meta-analysis,10.1038/s41398-022-01967-1
On Bayesian Mechanics: A Physics of and by Beliefs,10.1098/rsfs.2022.0029
Engineered gene circuits capable of reinforcement learning allow bacteria to master gameplaying,10.1101/2022.04.22.489191
Voltage imaging reveals the dynamic electrical signatures of human breast cancer cells,10.1038/s42003-022-04077-2
Flexible reprogramming of Pristionchus pacificus motivation for attacking Caenorhabditis elegans in predator-prey competition,10.1016/j.cub.2022.02.033
Magnitude-sensitivity: rethinking decision-making,10.1016/j.tics.2021.10.006
"Active inference, morphogenesis, and computational psychiatry",10.3389/fncom.2022.988977
Beyond dimension reduction: Stable electric fields emerge from and allow representational drift,10.1016/j.neuroimage.2022.119058
Bioelectric regulation of intestinal stem cells,10.1016/j.tcb.2022.10.003
Bioelectronic medicine: Preclinical insights and clinical advances,10.1016/j.neuron.2022.09.003
Gradient expectations: Revisiting Charles Manning Child's theory of metabolic regionalisation in developmental patterning and regeneration,10.1111/wrr.12998
Membrane polarization in non-neuronal cells as a potential mechanism of metabolic disruption by depolarizing insecticides,10.1016/j.fct.2021.112804
The contagiousness of memes: containing the spread of COVID-19 conspiracy theories in a forensic psychiatric hospital,10.1192/bjb.2020.120
"HCN2 channel-induced rescue of brain, eye, heart and gut teratogenesis caused by nicotine, ethanol and aberrant notch signalling",10.1111/wrr.13032
Transcardial injection and vascular distribution of microalgae in Xenopus laevis as means to supply the brain with photosynthetic oxygen,10.1016/j.xpro.2022.101250
Imaging Planar Cell Polarity Proteins in Xenopus Neuroectoderm,10.1007/978-1-0716-2035-9_10
Superposition mechanism as a neural basis for understanding others,10.1038/s41598-022-06717-3
How the Hodgkin cycle became the principle of biological relativity,10.1113/JP283193
Modern physiology vindicates Darwin's dream,10.1113/EP090133
"The ambiguous feeling between ""mine"" and ""not-mine"" measured by integrated information theory during rubber hand illusion",10.1038/s41598-022-22927-1
Acute multidrug delivery via a wearable bioreactor facilitates long-term limb regeneration and functional recovery in adult Xenopus laevis,10.1126/sciadv.abj2164
A prebiotically plausible scenario of an RNA-peptide world,10.1038/s41586-022-04676-3
Developmental Timing of Trauma in Women Predicts Unique Extracellular Vesicle Proteome Signatures,10.1016/j.biopsych.2021.08.003
When the end modifies its means: the origins of novelty and the evolution of innovation,10.1093/biolinnean/blac061
A New Class of Autopoietic and Cognitive Machines,10.20944/preprints202111.0340.v1
"Infusing Autopoietic and Cognitive Behaviors into Digital Automata to Improve Their Sentience, Resilience, and Intelligence",10.20944/preprints202111.0247.v1
A novel model of multicellular communication through extracellular matrix microstructure,10.1101/2022.11.21.514608
A non-transcriptional function of Yap regulates the DNA replication program in Xenopus laevis,10.7554/eLife.75741
Information Theory as an Experimental Tool for Integrating Disparate Biophysical Signaling Modules,10.3390/ijms23179580
Ion Channel Drugs Suppress Cancer Phenotype in NG108-15 and U87 Cells: Toward Novel Electroceuticals for Glioblastoma,10.3390/cancers14061499
When left does not seem right: epigenetic and bioelectric differences between left- and right-sided breast cancer,10.1186/s10020-022-00440-5
Correction to: When left does not seem right: epigenetic and bioelectric differences between left and rightsided breast cancer,10.1186/s10020-022-00457-w
Minimal Developmental Computation: A Causal Network Approach to Understand Morphogenetic Pattern Formation,10.3390/e24010107
The nonlinearity of regulation in biological networks,10.1101/2021.12.22.473903
New Era of Electroceuticals: Clinically Driven Smart Implantable Electronic Devices Moving towards Precision Therapy,10.3390/mi13020161
Building an allocentric travelling direction signal via vector computation,10.1038/s41586-021-04067-0
General anesthesia bullies the gut: a toxic relationship with dysbiosis and cognitive dysfunction,10.1007/s00213-022-06096-7
"Colocalized, bidirectional optogenetic modulations in freely behaving mice with a wireless dual-color optoelectronic probe",10.1038/s41467-022-28539-7
Technological Approach to Mind Everywhere: An Experimentally-Grounded Framework for Understanding Diverse Bodies and Minds,10.3389/fnsys.2022.768201
An autonomously swimming biohybrid fish designed with human cardiac biophysics,10.1126/science.abh0474
A unicellular walker controlled by a microtubule-based finite-state machine,10.1016/j.cub.2022.07.034
Metacognition as a Consequence of Competing Evolutionary Time Scales,10.3390/e24050601
Multimodal perception links cellular state to decision-making in single cells,10.1126/science.abf4062
Probabilistic Inference with Polymerizing Biochemical Circuits,10.3390/e24050629
Environmental complexity is more important than mutation in driving the evolution of latent novel traits in E. coli,10.1038/s41467-022-33634-w
Multiple Novel Traits without Immediate Benefits Originate in Bacteria Evolving on Single Antibiotics,10.1093/molbev/msab341
Regeneration Roadmap: database resources for regenerative biology,10.1093/nar/gkab870
Electro-responsive polymer-based platforms for electrostimulation of cells,10.1039/D1MA01012C
AIRE in context: Leveraging chromatin plasticity to trigger ectopic gene expression,10.1111/imr.13026
In vitro neurons learn and exhibit sentience when embodied in a simulated game-world,10.1016/j.neuron.2022.09.001
Robust and tunable signal processing in mammalian cells via engineered covalent modification cycles,10.1038/s41467-022-29338-w
Fluoxetine Decreases Phagocytic Function via REV-ERBalpha in Microglia,10.1007/s11064-022-03733-7
Sodium accumulation in breast cancer predicts malignancy and treatment response,10.1038/s41416-022-01802-w
Origin and evolution of animal multicellularity in the light of phylogenomics and cancer genetics,10.1007/s12032-022-01740-w
The role of self-maintaining resilient reaction networks in the origin and evolution of life,10.1016/j.biosystems.2022.104720
The meaning and origin of goal-directedness: a dynamical systems perspective,10.1093/biolinnean/blac060
Electroceutical treatment of infected chronic wounds in a dog and a cat,10.1111/vsu.13758
Motile Living Biobots Self-Construct from Adult Human Somatic Progenitor Seed Cells,10.1101/2022.08.04.502707
Dopamine subsystems that track internal states,10.1038/s41586-022-04954-0
Gap junctions mediate glucose transfer to promote colon cancer growth in three-dimensional spheroid culture,10.1016/j.canlet.2022.01.023
"Agency, teleonomy and signal transduction in plant systems",10.1093/biolinnean/blac021
Could machine learning fuel a reproducibility crisis in science?,10.1038/d41586-022-02035-w
Machine Learning at the Interface of Polymer Science and Biology: How Far Can We Go?,10.1021/acs.biomac.1c01436
Programming Molecular Systems To Emulate a Learning Spiking Neuron,10.1021/acssynbio.1c00625
Competency in Navigating Arbitrary Spaces as an Invariant for Analyzing Cognition in Diverse Embodiments,10.3390/e24060819
Smartphone mindfulness meditation training reduces Pro-inflammatory gene expression in stressed adults: A randomized controlled trial,10.1016/j.bbi.2022.04.003
Cognition as Morphological/Morphogenetic Embodied Computation In Vivo,10.3390/e24111576
Applications and Techniques for Fast Machine Learning in Science,10.3389/fdata.2022.787421
Applications and Techniques for Fast Machine Learning in Science,10.3389/fdata.2022.787421
Synthetic morphology via active and agential matter,10.31219/osf.io/xrv8h
Inducing Vertebrate Limb Regeneration: A Review of Past Advances and Future Outlook,10.1101/cshperspect.a040782
Bayes and Darwin: How replicator populations implement Bayesian computations,10.1002/bies.202100255
A systems theory of biological evolution,10.1016/j.biosystems.2022.104630
Localized electrical stimulation triggers cell-type-specific proliferation in biofilms,10.1016/j.cels.2022.04.001
Endless forms most beautiful 2.0: teleonomy and the bioengineering of chimaeric and synthetic organisms,10.1093/biolinnean/blac073
Neuroscience needs evolution,10.1098/rstb.2020.0518
Evolution of behavioural control from chordates to primates,10.1098/rstb.2020.0522
A synthetic protein-level neural network in mammalian cells,10.1101/2022.07.10.499405
Dynamic surface patterns on cells,10.1063/5.0077311
"Time Is of the Essence: Neural Codes, Synchronies, Oscillations, Architectures",10.3389/fncom.2022.898829
Emerging dynamic memristors for neuromorphic reservoir computing,10.1039/d1nr06680c
Weaver ants regulate the rate of prey delivery during collective vertical transport,10.1101/2022.06.22.497253
Natural Induction,10.1163/9789087908737_009
Unicellular-multicellular evolutionary branching driven by resource limitations,10.1098/rsif.2022.0018
Learning in Transcriptional Network Models: Computational Discovery of Pathway-Level Memory and Effective Interventions,10.3390/ijms24010285
Cellular sentience as the primary source of biological order and evolution,10.1016/j.biosystems.2022.104694
Cellular and evolutionary perspectives on organismal cognition: from unicellular to multicellular organisms,10.1093/biolinnean/blac005
Mitochondria in cone photoreceptors act as microlenses to enhance photon delivery and confer directional sensitivity to light,10.1126/sciadv.abn2070
Variable paralog expression underlies phenotype variation,10.7554/eLife.79247
Towards enduring autonomous robots via embodied energy,10.1038/s41586-021-04138-2
VeloViz: RNA velocity-informed embeddings for visualizing cellular trajectories,10.1093/bioinformatics/btab653
"Supervised Learning in a Multilayer, Nonlinear Chemical Neural Network",10.1109/TNNLS.2022.3146057
Ion Channel Involvement in Tumor Drug Resistance,10.3390/jpm12020210
Fluoxetine Ecofriendly Nanoemulsion Enhances Wound Healing in Diabetic Rats: In Vivo Efficacy Assessment,10.3390/pharmaceutics14061133
Synthetic cells with self-activating optogenetic proteins communicate with natural cells,10.1038/s41467-022-29871-8
Dissecting transition cells from single-cell transcriptome data through multiscale stochastic dynamics,10.1038/s41467-021-25548-w
Machine Learning: New Ideas and Tools in Environmental Science and Engineering,10.1021/acs.est.1c01339
Neuromorphic learning with Mott insulator NiO,10.1073/pnas.2017239118
Upregulation of Antioxidant Capacity and Nucleotide Precursor Availability Suffices for Oncogenic Transformation,10.1016/j.cmet.2020.10.002
Dual-responsive biohybrid neutrobots for active target delivery,10.1126/scirobotics.aaz9519
Photons detected in the active nerve by photographic technique,10.1038/s41598-021-82622-5
Active perception during angiogenesis: filopodia speed up Notch selection of tip cells in silico and in vivo,10.1098/rstb.2019.0753
Modulation of the Cell Membrane Potential and Intracellular Protein Transport by High Magnetic Fields,10.1002/bem.22309
A calcineurin-mediated scaling mechanism that controls a K(+)-leak channel to regulate morphogen and growth factor transcription,10.7554/eLife.60691
Mechanical computing,10.1038/s41586-021-03623-y
Exploration of possible cell chirality using material techniques of surface patterning,10.1016/j.actbio.2021.02.032
Integration of electrotaxis and durotaxis in cancer cells: Subtle nonlinear responses to electromechanical coupling cues,10.1016/j.bios.2021.113289
In-Cell Nanoelectronics: Opening the Door to Intracellular Electrophysiology,10.1007/s40820-021-00655-x
Homeostatic synaptic scaling establishes the specificity of an associative memory,10.1016/j.cub.2021.03.024
Perspective on integrating machine learning into computational chemistry and materials science,10.1063/5.0047760
Developmental Regulation of Homeostatic Plasticity in Mouse Primary Visual Cortex,10.1523/JNEUROSCI.1200-21.2021
Chloride intracellular channels as novel biomarkers for digestive system tumors (Review),10.3892/mmr.2021.12269
Biomedical Implants with Charge-Transfer Monitoring and Regulating Abilities,10.1002/advs.202004393
Assembloids,10.1038/s41592-020-01026-x
Model comparison via simplicial complexes and persistent homology,10.1098/rsos.211361
Turing pattern design principles and their robustness,10.1098/rsta.2020.0272
Atypical Brain Asymmetry in Human Situs Inversus: Gut Feeling or Real Evidence?,10.3390/sym13040695
Non-cell-autonomous OTX2 transcription factor regulates anxiety-related behavior in the mouse,10.1038/s41380-021-01132-y
What machine learning can do for developmental biology,10.1242/dev.188474
Author Correction: Engineering self-organized criticality in living cells,10.1038/s41467-021-25603-6
Engineering self-organized criticality in living cells,10.1038/s41467-021-24695-4
Seasonal variation of behavior and brain size in a freshwater fish,10.1002/ece3.8179
Goals as Emergent Autopoietic Processes,10.3389/fbioe.2021.720652
Towards a Theory of Evolution as Multilevel Learning,10.1101/2021.11.03.466494
"First Virtual International Congress on Cellular and Organismal Stress Responses, November 5-6, 2020",10.1007/s12192-021-01192-7
Machine learning in plant science and plant breeding,10.1016/j.isci.2020.101890
The Sudden Savant: A New Form of Extraordinary Abilities,10.3726/978-3-0351-0826-2/18
Synthetic embryology: Early mammalian embryo modeling systems from cell cultures,10.1111/dgd.12713
Towards the Idea of Molecular Brains,10.3390/ijms222111868
From genes to shape during metamorphosis: a history,10.1016/j.cois.2020.08.008
When less is more: Robot swarms adapt better to changes with constrained communication,10.1126/scirobotics.abf1416
Neurophysiological and Behavioral Analysis in Xenopus,10.1101/pdb.top106849
Modeling Stem Cell Fates using Non-Markov Processes,10.1016/j.stem.2021.01.009
Profiling DNA break sites and transcriptional changes in response to contextual fear learning,10.1371/journal.pone.0249691
CellProfiler Analyst 3.0: Accessible data exploration and machine learning for image analysis,10.1093/bioinformatics/btab634
longfin causes cis-ectopic expression of the kcnh2a ether-a-go-go K+ channel to autonomously prolong fin outgrowth,10.1242/dev.199384
Establishment of the vertebrate body plan: Rethinking gastrulation through stem cell models of early embryogenesis,10.1016/j.devcel.2021.08.012
Supervised Learning in Physical Networks: From Machine Learning to Learning Machines,10.1103/PhysRevX.11.021045
The representational entity in physical computing,10.1007/s11047-020-09805-3
Effect of SSRI exposure on the proliferation rate and glucose uptake in breast and ovary cancer cell lines,10.1038/s41598-020-80850-9
Beyond Casual Resemblance: Rigorous Frameworks for Comparing Regeneration Across Species,10.1146/annurev-cellbio-120319-114716
The geometry of decision-making in individuals and collectives,10.1073/pnas.2102157118
Glycolysis regulates Hedgehog signalling via the plasma membrane potential,10.15252/embj.2021107925
Behavioral control by depolarized and hyperpolarized states of an integrating neuron,10.7554/eLife.67723
Electric signals counterbalanced posterior vs anterior PTEN signaling in directed migration of Dictyostelium,10.1186/s13578-021-00580-x
Sustainable Triazine-Based Dehydro-Condensation Agents for Amide Synthesis,10.3390/molecules26010191
Reconfiguring SETI in the microbial context: Panspermia as a solution to Fermi's paradox,10.1016/j.biosystems.2021.104441
Modelling ourselves: what the free energy principle reveals about our implicit notions of representation,10.1007/s11229-021-03140-5
Substratum stiffness tunes membrane voltage in mammary epithelial cells,10.1242/jcs.256313
Roles of voltagegated potassium channels in the maintenance of pancreatic cancer stem cells,10.3892/ijo.2021.5256
Discovery of a body-wide photosensory array that matures in an adult-like animal and mediates eye-brain-independent movement and arousal,10.1073/pnas.2021426118
Symmetry at the 4-Cell Stage Is Associated with Embryo Aneuploidy,10.1007/s43032-021-00758-1
Durotaxis: The Hard Path from In Vitro to In Vivo,10.1016/j.devcel.2020.11.019
Collective durotaxis along a self-generated stiffness gradient in vivo,10.1038/s41586-021-04210-x
Obtaining Xenopus laevis Embryos,10.1101/pdb.prot106211
Obtaining Xenopus laevis Eggs,10.1101/pdb.prot106203
AFB1 controls rapid auxin signalling through membrane depolarization in Arabidopsis thaliana root,10.1038/s41477-021-00969-z
The principles of directed cell migration,10.1038/s41580-021-00366-6
Triple-Negative Breast Cancer Cells Recruit Neutrophils by Secreting TGF-beta and CXCR2 Ligands,10.3389/fimmu.2021.659996
The Recruitment of Neutrophils to the Tumor Microenvironment Is Regulated by Multiple Mediators,10.3389/fimmu.2021.734188
Consciousness after split-brain surgery: The recent challenge to the classical picture,10.1016/j.neuropsychologia.2021.107987
The early Drosophila embryo as a model system for quantitative biology,10.1016/j.cdev.2021.203722
Cholangiocyte organoids can repair bile ducts after transplantation in the human liver,10.1126/science.aaz6964
Genetic circuits combined with machine learning provides fast responding living sensors,10.1016/j.bios.2021.113028
Nicotine chronic tolerance development and withdrawal in the planaria (Schmidtea mediterranea),10.1016/j.pbb.2020.173075
SpikeDeep-classifier: a deep-learning based fully automatic offline spike sorting algorithm,10.1088/1741-2552/abc8d4
Monitoring of compound resting membrane potentials of cell cultures with ratiometric genetically encoded voltage indicators,10.1038/s42003-021-02675-0
Learning and synapric plasticity in 3D bioengineered neural tissues,10.1016/j.neulet.2021.135799
Advancing models of neural development with biomaterials,10.1038/s41583-021-00496-y
Synthetic by design: Exploiting tissue self-organization to explore early human embryology,10.1016/j.ydbio.2021.01.004
Role of serotonin in vertebrate embryo development,10.1016/j.repbio.2020.100475
Can neural signals override cellular decisions in the presence of DNA damage?,10.1016/j.dnarep.2021.103127
A Loser-Take-All DNA Circuit,10.1021/acssynbio.1c00318
Cell Systems Bioelectricity: How Different Intercellular Gap Junctions Could Regionalize a Multicellular Aggregate,10.3390/cancers13215300
Principles of regeneration revealed by the planarian eye,10.1016/j.ceb.2021.05.001
Cognition in some surprising places,10.1016/j.bbrc.2020.08.115
Resonance and radical embodiment,10.1007/s11229-020-02610-6
Dynamic self-reinforcement of gene expression determines acquisition of cellular mechanical memory,10.1016/j.bpj.2021.10.006
A systemic cell cycle block impacts stage-specific histone modification profiles during Xenopus embryogenesis,10.1371/journal.pbio.3001377
"The rise of the biocyborg: synthetic biology, artificial chimerism and human enhancement",https://doi.org/10.1080/14636778.2021.2007064
The skin microbiome of Xenopus laevis and the effects of husbandry conditions,10.1186/s42523-021-00080-w
Bistability of somatic pattern memories: stochastic outcomes in bioelectric circuits underlying regeneration,10.1098/rstb.2019.0765
Deciphering Sounds Through Patterns of Vibration on the Skin,10.1016/j.neuroscience.2021.01.008
"Understanding, Explanation, and Active Inference",10.3389/fnsys.2021.772641
Fluoxetine Potentiates Phagocytosis and Autophagy in Microglia,10.3389/fphar.2021.770610
Green oxygen power plants in the brain rescue neuronal activity,10.1016/j.isci.2021.103158
Collective dynamics in entangled worm and robot blobs,10.1073/pnas.2010542118
Cryosectioning and Immunostaining of Xenopus Embryonic Tissues,10.1101/pdb.prot107151
Emergent Collective Locomotion in an Active Polymer Model of Entangled Worm Blobs,10.3389/fphy.2021.734499
Scaling-up evolutionary variability: The causes and consequences of developmental hierarchy,10.5339/wcm-q.9789927129643_10
Rewiring Endogenous Bioelectric Circuits in the Xenopus laevis Embryo Model,10.1007/978-1-0716-1174-6_7
Multi-scale Chimerism: An experimental window on the algorithms of anatomical control,10.1016/j.cdev.2021.203764
Deep learning is widely applicable to phenotyping embryonic development and disease,10.1242/dev.199664
Mechanosensation Mediates Long-Range Spatial Decision-Making in an Aneural Organism,10.1002/adma.202008161
Evolution of epimorphosis in mammals,10.1002/jez.b.22925
Moral Status for Malware! The Difficulty of Defining Advanced Artificial Intelligence,10.1017/s0963180120001061
Metabolic decisions in development and disease,10.1242/dev.199609
The role of the Cer1 transposon in horizontal transfer of transgenerational memory,10.1016/j.cell.2021.07.022
Xenopus Explants and Transplants,10.1101/pdb.top097337
Physiological electric fields induce directional migration of mammalian cranial neural crest cells,10.1016/j.ydbio.2020.12.011
Theranostic cells: emerging clinical applications of synthetic biology,10.1038/s41576-021-00383-3
Theranostic cells: emerging clinical applications of synthetic biology,10.1038/s41576-021-00383-3
Beyond Neurons: Long Distance Communication in Development and Cancer,10.3389/fcell.2021.739024
Regeneration in Stentor coeruleus,10.3389/fcell.2021.753625
Evolution of Cellular Differentiation: From Hypotheses to Models,10.1016/j.tree.2020.07.013
Acoustic developmental programming: a mechanistic and evolutionary framework,10.1016/j.tree.2021.04.007
The dorsal blastopore lip is a source of signals inducing planar cell polarity in the Xenopus neural plate,10.1242/bio.058761
Valuing what happens: a biogenic approach to valence and (potentially) affect,10.1098/rstb.2019.0752
Reframing cognition: getting down to biological basics,10.1098/rstb.2019.0750
Picroscope: low-cost system for simultaneous longitudinal biological imaging,10.1038/s42003-021-02779-7
Multi-scale neural decoding and analysis,10.1088/1741-2552/ac160f
A cross-species analysis of systemic mediators of repair and complex tissue regeneration,10.1038/s41536-021-00130-6
Schooling in Xenopus laevis Tadpoles as a Way to Assess Their Neural Development,10.1101/pdb.prot106906
Electroactive Biomaterials and Systems for Cell Fate Determination and Tissue Regeneration: Design and Applications,10.1002/adma.202007429
Early Developmental Exposure to Fluoxetine and Citalopram Results in Different Neurodevelopmental Outcomes,10.1016/j.neuroscience.2021.05.023
Multiple memory formation in glassy landscapes,10.1126/sciadv.abg7133
An on-demand plant-based actuator created using conformable electrodes,10.1038/s41928-020-00530-4
The design principles of discrete turing patterning systems,10.1016/j.jtbi.2021.110901
"Uncovering cognitive similarities and differences, conservation and innovation",10.1098/rstb.2020.0458
Bioelectrical approaches to cancer as a problem of the scaling of the cellular self,10.1016/j.pbiomolbio.2021.04.007
"Bioelectric signaling: Reprogrammable circuits underlying embryogenesis, regeneration, and cancer",10.1016/j.cell.2021.02.034
Transmembrane H(+) fluxes and the regulation of neural induction in Xenopus laevis,10.1017/S0967199421000630
The epithelial-mesenchymal transition and the cytoskeleton in bioengineered systems,10.1186/s12964-021-00713-2
Measuring Absolute Membrane Potential Across Space and Time,10.1146/annurev-biophys-062920-063555
A549 in-silico 1.0: A first computational model to simulate cell cycle dependent ion current modulation in the human lung adenocarcinoma,10.1371/journal.pcbi.1009091
What could mathematics be for it to function in distinctively mathematical scientific explanations?,10.1016/j.shpsa.2021.02.002
Virtual Creature Morphology - A Review,https://doi.org/10.1111/cgf.142661
Gene-circuit therapy on the horizon: synthetic biology tools for engineered therapeutics,10.18388/abp.2020_5744
A simple theory for molecular chemotaxis driven by specific binding interactions,10.1063/5.0061376
Kinematic self-replication in reconfigurable organisms,10.1073/pnas.2112672118
Scale invariant robot behavior with fractals,10.15607/rss.2021.xvii.059
Encoding memory in tube diameter hierarchy of living flow network,10.1073/pnas.2007815118
Wireless Localized Electrical Stimulation Generated by an Ultrasound-Driven Piezoelectric Discharge Regulates Proinflammatory Macrophage Polarization,10.1002/advs.202100962
Global coordination of metabolic pathways in Escherichia coli by active and passive regulation,10.15252/msb.202010064
Image motion with color contrast suffices to elicit an optokinetic reflex in Xenopus laevis tadpoles,10.1038/s41598-021-87835-2
An atomic Boltzmann machine capable of self-adaption,10.1038/s41565-020-00838-4
Xenopus Deep Cell Aggregates: A 3D Tissue Model for Mesenchymal-to-Epithelial Transition,10.1007/978-1-0716-0779-4_21
Robotic hand augmentation drives changes in neural body representation,10.1126/scirobotics.abd7935
Inhibition of GABAA-rho receptors induces retina regeneration in zebrafish,10.4103/1673-5374.286972
Sensitivity of plants to high frequency electromagnetic radiation: cellular mechanisms and morphological changes,10.1007/s11157-020-09563-9
Sensitivity of plants to high frequency electromagnetic radiation: cellular mechanisms and morphological changes,10.1007/s11157-020-09563-9
The World Is Not a Theorem,10.1007/bf02728310
The rise of intelligent matter,10.1038/s41586-021-03453-y
Global feather orientations changed by electric current,https://doi.org/10.1016/j.isci.2021.102671
Kcnb1 plays a role in development of the inner ear,10.1016/j.ydbio.2020.12.007
